character,birthday,location,loved_gifts,liked_gifts,disliked_gifts,schedule,job
Abigail,Spring 15,Pierre's General Store,Amethyst|Pumpkin|Chocolate Cake,Quartz|Fire Quartz,Holly,Library|Saloon|Home,Student
Sebastian,Winter 10,The Mountain,Frozen Tear|Obsidian|Pumpkin Soup,Quartz|Fluorapatite|Sashimi,Home|Saloon|Mountain,Programmer
Leah,Winter 23,Cottage,Goat Cheese|Salad|Wine,Dandelion|Chanterelle|Morel,Void Egg,Cottage|Forest|Saloon,Artist
Penny,Fall 2,Town,Melon|Poppy|Diamond,Tomato|Dandelion|Leek,Beer,Town|Library|Trailer,Teacher
Alex,Summer 13,1 River Road,Complete Breakfast|Salmon Dinner,Pancakes|Egg|Milk,Quartz|Holly,,
Elliott,Fall 5,Elliott's Cabin,Duck Feather|Pomegranate|Lobster|Crab Cakes|Tom Kha Soup,Pear|Octopus|Squid|Clam|Mussel|Oyster|Coral|Beer,Chanterelle|Common Mushroom|Daffodil|Dandelion|Ginger|Hazelnut|Holly,,
Emily,Spring 27,2 Willow Lane,Amethyst|Aquamarine|Emerald|Jade|Ruby|Topaz|Cloth|Wool,Quartz|Daffodil|Bean,Salmonberry|Seaweed,,
Haley,Spring 14,2 Willow Lane,Coconut|Fruit Salad|Pink Cake|Sunflower,Daffodil,Clay|Prismatic Shard,,
Harvey,Winter 14,Harvey's Clinic,Coffee|Pickles|Super Meal|Truffle Oil|Wine,Daffodil|Duck Egg|Goat Milk|Milk|Quartz,Coral|Holly|Salmonberry|Spice Berry,,
Maru,Summer 10,2 Mountain Road,Battery Pack|Cauliflower|Cheese Cauliflower|Diamond|Gold Bar|Iridium Bar|Miner's Treat|Pepper Poppers|Radioactive Bar|Rhubarb Pie|Strawberry,Quartz|Copper Bar|Iron Bar|Gold Ore|Oak Resin|Pine Tar,Blackberry|Common Mushroom|Daffodil|Dandelion|Holly|Honey,,
Sam,Summer 17,1 Willow Lane,Cactus Fruit|Maple Bar|Pizza|Tigerseye,Joja Cola|Egg,Coal|Mayonnaise|Duck Mayonnaise|Gold Bar|Iridium Bar|Refined Quartz,,
Shane,Spring 20,1 Willow Lane,Beer|Hot Pepper|Pepper Poppers|Pizza,Egg|Fruit|Hot Pepper,Pickles|Milk|Most Mushrooms,,
Caroline,Winter 7,Pierre's General Store,Fish Taco|Green Tea|Summer Spangle|Tropical Curry,Amaranth|Daffodil|Tea Leaves,Wild Horseradish|Holly,,
Clint,Winter 26,Blacksmith,Amethyst|Aquamarine|Artichoke Dip|Emerald|Fiddlehead Risotto|Gold Bar|Iridium Bar|Jade|Omni Geode|Ruby|Topaz,Diamond|Gold Ore|Iron Bar|Copper Bar|Geode|Quartz,Algae|Clay|Daffodil|Dandelion|Holly,,
Demetrius,Summer 19,Carpenter's Shop,Bean Hotpot|Ice Cream|Rice Pudding|Strawberry,All Eggs|All Fruit|Milk|Quartz,Clay|Holly|Daffodil|Dandelion,,
Evelyn,Winter 20,Town,Beet|Chocolate Cake|Diamond|Fairy Rose|Stuffing|Tulip,All Milk|All Eggs|Daffodil|Tea,Clay|Fish|Holly,,
George,Winter 24,1 River Road,Fried Mushroom|Leek|Lava Eel,All Eggs|Daffodil|Milk|Leek,Clay|Dandelion|Holly,,
Gus,Summer 8,Stardrop Saloon,Orange|Diamond|Escargot|Fish Taco|Tropical Curry,All Fruits|All Eggs|Beer|Wine,Coleslaw|Holly,,
Jodi,Fall 11,2 Willow Lane,Chocolate Cake|Crispy Bass|Diamond|Eggplant Parmesan|Fried Eel|Pancakes|Rhubarb Pie,All Milk|All Eggs|Daffodil|Dandelion,Clay|Fish|Holly,,
Kent,Spring 4,1 Willow Lane,Fiddlehead Risotto|Roasted Hazelnuts|Salmonberry,All Eggs|All Fruit|Daffodil|Dandelion|Milk,Clay|Holly,,
Lewis,Spring 7,Mayor's Manor,Autumn's Bounty|Glazed Yams|Green Tea|Hot Pepper|Vegetable Medley,All Eggs|All Milk|Daffodil|Dandelion,Clay|Holly|Milk,,
Linus,Winter 3,Tent,Blueberry Tart|Cactus Fruit|Coconut|Dish O' The Sea|Yam,All Fruit|All Eggs|All Fish|Milk|Quartz,All Animal Products|Bread|Clay|Daffodil|Holly,,
Marnie,Fall 18,Marnie's Ranch,Diamond|Farmer's Lunch|Pink Cake|Pumpkin Pie,All Eggs|All Milk|Quartz,Clay|Holly,,
Pam,Spring 18,Trailer,Cactus Fruit|Beer|Glazed Yams|Parsnip|Parsnip Soup|Pale Ale,All Fruits|All Milk|Daffodil|Dandelion,Clay|Holly,,
Pierre,Spring 26,Pierre's General Store,Fried Calamari|Fried Eel|Universal Loves,All Eggs|Daffodil|Dandelion|Milk|Quartz,All Universal Hates except Trash,,
Robin,Fall 21,Carpenter's Shop,Goat Cheese|Peach|Spaghetti|Woodworker's Bundle,All Fruit|Milk|Quartz,Clay|Holly,,
Willy,Summer 24,Fish Shop,Catfish|Diamond|Gold Bar|Iridium Bar|Mead|Octopus|Pumpkin|Sea Cucumber|Sturgeon,All Fish|Diamond|Quartz,All Universal Hates except Fish,,
